id,created_at,updated_at,deleted_at,desc,brand,serial,type,cus,ietag,loc,cost,currency,invoice,invref,recvied,remark
1,2021-04-05,2021-04-05,NULL,DB Test Fixture,N/A,265;02,N/A,N/A,EPLDP09001,Plant 1 Saw wafer,36000,USD,14/12/2009,SEC-09-01,12/14/2009,
2,2021-04-05,2021-04-05,NULL,DB power Supply,E3631A,MY40043817,N/A,N/A,EPLDP09002,Plant 1 Saw wafer,,USD,14/12/2009,SEC-09-01,12/14/2009,
3,2021-04-05,2021-04-05,NULL,CPU,Intel,53DSM4J,N/A,N/A,EPLDP09003,Plant 1 Saw wafer,,USD,14/12/2009,SEC-09-01,12/14/2009,
4,2021-04-05,2021-04-05,NULL,Moniter,743NXPLUS,MY17HDBS04439E,N/A,N/A,EPLDP09004,Plant 1 Saw wafer,,USD,14/12/2009,SEC-09-01,12/14/2009,
5,2021-04-05,2021-04-05,NULL,LB: ICT Test fixture,N/A,265;08,N/A,N/A,EPLDP09006,Plant 1 Saw wafer,,USD,14/12/2009,SEC-09-01,12/14/2009,
6,2021-04-05,2021-04-05,NULL,Power supply 5V,E3644A 0E3,MY40005157,N/A,N/A,EPLDP09007,Plant 1 Saw wafer,,USD,14/12/2009,SEC-09-01,12/14/2009,
7,2021-04-05,2021-04-05,NULL,"Power supply 3,7 V",E3644A 0E4,MY40005158,N/A,N/A,EPLDP09008,Plant 1 Saw wafer,,USD,14/12/2009,SEC-09-01,12/14/2009,
8,2021-04-05,2021-04-05,NULL,Multimeter,34401A,US36032850,N/A,N/A,EPLDP09009,Plant 1 Saw wafer,,USD,14/12/2009,SEC-09-01,12/14/2009,
9,2021-04-05,2021-04-05,NULL,Power supply 150V,N5751A,US27J12676,N/A,N/A,EPLDP09010,Plant 1 Saw wafer,,USD,14/12/2009,SEC-09-01,12/14/2009,
10,2021-04-05,2021-04-05,NULL,CPU ,Intel,CZC7295LS1,N/A,N/A,EPLDP09011,Plant 1 Saw wafer,,USD,14/12/2009,SEC-09-01,12/14/2009,
11,2021-04-05,2021-04-05,NULL,Monnitor,743NXPLUS,MY17HDBSB4461R,N/A,N/A,EPLDP09012,Plant 1 Saw wafer,,USD,14/12/2009,SEC-09-01,12/14/2009,
12,2021-04-05,2021-04-05,NULL,Bacord scanner,3800g,09213D22CC,N/A,N/A,EPLDP09013,Plant 1 Saw wafer,,USD,14/12/2009,SEC-09-01,12/14/2009,
13,2021-04-05,2021-04-05,NULL,Power Supply,Agilent / NS747A,US27H8891H,Equipment,N/A,ESECP10005,Plant 1 Saw wafer,350,USD,10/3/2010,SEC-10-01,3/17/2010,
14,2021-04-05,2021-04-05,NULL,Instrument cabinet,N/A,N/A,Equipment,N/A,ESECP10009,Plant 1 Saw wafer,7500,USD,10/3/2010,SEC-10-01,3/17/2010,
15,2021-04-05,2021-04-05,NULL,Probe unit power board,N/A,N/A,Equipment,N/A,TSECP10002,Plant 1 Saw wafer,1500,USD,10/3/2010,SEC-10-01,3/17/2010,
16,2021-04-05,2021-04-05,NULL,Die attach machine,Datacon  2200ARN,95022130914,Equipment,N/A,ESECP11001,Plant 1 Saw wafer,200000,EUR,SEC2705-2011,SEC-11-01,5/27/2011,
17,2021-04-05,2021-04-05,NULL,Juno ICT fixture Line board tester,N/A,SM37,Equipment,N/A,ESECP11002,Plant 1 Saw wafer,4000,USD,12/16/2011,SEC-11-02,12/16/2011,
18,2021-04-05,2021-04-05,NULL,Computer set for JUNO line Board,HP Z210 CMT,CZC1294FG7,Equipment,N/A,ESECP11003,Plant 1 Saw wafer,1137,USD,12/16/2011,SEC-11-02,12/16/2011,
19,2021-04-05,2021-04-05,NULL,DC Power Supply,E3644A,MY40003441,Equipment,N/A,ESECP11004,Plant 1 Saw wafer,500,USD,12/16/2011,SEC-11-02,12/16/2011,
20,2021-04-05,2021-04-05,NULL,DC Power Supply,E3644A,MY40003460,Equipment,N/A,ESECP11005,Plant 1 Saw wafer,500,USD,12/16/2011,SEC-11-02,12/16/2011,
21,2021-04-05,2021-04-05,NULL,DC Power Supply,N5751A,US26E6574F,Equipment,N/A,ESECP11006,Plant 1 Saw wafer,500,USD,12/16/2011,SEC-11-02,12/16/2011,
22,2021-04-05,2021-04-05,NULL,DB Test Fixture,N/A,N/A,N/A,N/A,EPLDP12001,Plant 1 Saw wafer,14700,USD,9/6/2012,SEC-12-01,9/11/2012,
23,2021-04-05,2021-04-05,NULL,CPU,Intel,CZC2196GHH,N/A,N/A,EPLDP12002,Plant 1 Saw wafer,,USD,9/6/2012,SEC-12-01,9/11/2012,
24,2021-04-05,2021-04-05,NULL,Moniter,GG458A,CNK81102HY,N/A,N/A,EPLDP12003,Plant 1 Saw wafer,,USD,9/6/2012,SEC-12-01,9/11/2012,
25,2021-04-05,2021-04-05,NULL,Barcode scanner,Heron - G D130,E07E03277,N/A,N/A,EPLDP12004,Plant 1 Saw wafer,,USD,9/6/2012,SEC-12-01,9/11/2012,
26,2021-04-05,2021-04-05,NULL,LBX Test Fixture,N/A,N/A,N/A,N/A,EPLDP12005,Plant 1 Saw wafer,,USD,9/6/2012,SEC-12-01,9/11/2012,
27,2021-04-05,2021-04-05,NULL,Power supply ,N5751A,US09F4954G,N/A,N/A,EPLDP12006,Plant 1 Saw wafer,,USD,9/6/2012,SEC-12-01,9/11/2012,
28,2021-04-05,2021-04-05,NULL,DC Power supply ,E3644A 0E3,MY40007115,N/A,N/A,EPLDP12007,Plant 1 Saw wafer,,USD,9/6/2012,SEC-12-01,9/11/2012,
